Name		Formula		Color		Hardness	Crystal_System		Cleavage
Amethyst	SiO2		Purple		7		Hexagonal		Indiscernible
Analcime	NaAlSi2O6*H2O	White		5		Isometric		Indiscernible
Arsenic		As		Gray		3.5		Hexagonal		Perfect
Aquamarine	Be3Al2SiO6	Blue		7.5		Hexagonal		Poor
Bixbyite	(Mn,Fe)2O3	Black		6		Isometric		Poor
Bustamite	(Mn,Ca)SiO3	Pink		5.5		Triclinic		Good
Chalcanthite	CuSO4*5H2O	Blue		2.5		Triclinic		Indiscernible
Cummingtonite	(Mg,Fe)2(Mg,Fe)5Si8O22(OH)2	Brown		5		Monoclinic 	Good
Cuprite		Cu2O		Red		3.5		Isometric		Poor
Diamond		C		Colorless	10		Isometric		Poor
Dolomite	CaMg(CO3)2	Colorless	3.5		Hexagonal		Poor
Diaspore	AlO(OH)		Colorless	6.5		Orthohombic		Perfect
Emerald		Be3Al2SiO6	Green		7.5		Hexagonal		Poor
Fluorite	CaF2		All Colors	4		Isometric		Perfect
Garnet		Ca3Al2Si3O12	All Colors	6.5		Isometric		Indiscernible
Graphite	C		Gray		1.5		Hexagonal		Perfect
Halite(Salt)	NaCl		White		2		Isometric		Perfect
Hematite	Fe2O3		Black		5		Hexagonal		None
Ice		H2O		Colorless	1.5		Hexagonal		None

